location,date,length,quantity,density,code
Aare_Brugg_BuchiE,2017-09-25,20,1,0.05,G35
Aare_Brugg_BuchiE,2017-09-25,20,1,0.05,G79
Aare_Brugg_BuchiE,2017-09-25,20,3,0.15,G156
Aare_Brugg_BuchiE,2017-09-25,20,1,0.05,G175
Aare_Brugg_BuchiE,2017-10-31,20,2,0.1,G27
Aare_Brugg_BuchiE,2017-10-31,20,2,0.1,G79
Aare_Brugg_BuchiE,2017-11-27,20,1,0.05,G21
Aare_Brugg_BuchiE,2017-11-27,20,2,0.1,G124
Aare_Brugg_BuchiE,2017-12-28,20,1,0.05,G3
Aare_Brugg_BuchiE,2017-12-28,20,1,0.05,G25
Aare_Brugg_BuchiE,2017-12-28,20,4,0.2,G27
Aare_Brugg_BuchiE,2017-12-28,20,1,0.05,G96
Aare_Brugg_BuchiE,2017-12-28,20,1,0.05,G124
Aare_Brugg_BuchiE,2018-02-04,20,1,0.05,G30
